client_rate_id,rate_type,rate_detail
-1,S,\N
1,S,\N
2,A,\N
3,B,\N
4,C,\N
5,D,\N
6,E,\N
385,S,\N
386,A,\N
387,B,\N
388,C,\N
389,D,\N
390,E,\N
391,S,\N
392,A,\N
393,B,\N
394,C,\N
395,D,\N
396,E,\N
397,S,\N
398,A,\N
399,B,\N
400,C,\N
401,D,\N
402,E,\N
403,S,\N
404,A,\N
405,B,\N
406,C,\N
407,D,\N
408,E,\N
409,S,\N
410,A,\N
411,B,\N
412,C,\N
413,D,\N
414,E,\N
415,S,\N
416,A,\N
417,B,\N
418,C,\N
419,D,\N
420,E,\N
421,S,\N
422,A,\N
423,B,\N
424,C,\N
425,D,\N
426,E,\N
427,S,\N
428,A,\N
429,B,\N
430,C,\N
431,D,\N
432,E,\N
433,S,\N
434,A,\N
435,B,\N
436,C,\N
437,D,\N
438,E,\N
439,S,\N
440,A,\N
441,B,\N
442,C,\N
443,D,\N
444,E,\N
445,S,\N
446,A,\N
447,B,\N
448,C,\N
449,D,\N
450,E,\N
451,S,\N
452,A,\N
453,B,\N
454,C,\N
455,D,\N
456,E,\N
457,S,\N
458,A,\N
459,B,\N
460,C,\N
461,D,\N
462,E,\N
463,S,\N
464,A,\N
465,B,\N
466,C,\N
467,D,\N
468,E,\N
469,S,\N
470,A,\N
471,B,\N
472,C,\N
473,D,\N
474,E,\N
475,S,\N
476,A,\N
477,B,\N
478,C,\N
479,D,\N
480,E,\N
481,S,\N
482,A,\N
483,B,\N
484,C,\N
485,D,\N
486,E,\N
487,S,\N
488,A,\N
489,B,\N
490,C,\N
491,D,\N
492,E,\N
493,S,\N
494,A,\N
495,B,\N
496,C,\N
497,D,\N
498,E,\N
499,S,\N
500,A,\N
501,B,\N
502,C,\N
503,D,\N
504,E,\N
505,S,\N
506,A,\N
507,B,\N
508,C,\N
509,D,\N
510,E,\N
511,S,\N
512,A,\N
513,B,\N
514,C,\N
515,D,\N
516,E,\N
517,S,\N
518,A,\N
519,B,\N
520,C,\N
521,D,\N
522,E,\N
523,S,\N
524,A,\N
525,B,\N
526,C,\N
527,D,\N
528,E,\N
529,S,\N
530,A,\N
531,B,\N
532,C,\N
533,D,\N
534,E,\N
535,S,\N
536,A,\N
537,B,\N
538,C,\N
539,D,\N
540,E,\N
541,S,\N
542,A,\N
543,B,\N
544,C,\N
545,D,\N
546,E,\N
547,S,\N
548,A,\N
549,B,\N
550,C,\N
551,D,\N
552,E,\N
553,S,\N
554,A,\N
555,B,\N
556,C,\N
557,D,\N
558,E,\N
559,S,\N
560,A,\N
561,B,\N
562,C,\N
563,D,\N
564,E,\N
565,S,\N
566,A,\N
567,B,\N
568,C,\N
569,D,\N
570,E,\N
571,S,\N
572,A,\N
573,B,\N
574,C,\N
575,D,\N
576,E,\N
577,S,\N
578,A,\N
579,B,\N
580,C,\N
581,D,\N
582,E,\N
583,S,\N
584,A,\N
585,B,\N
586,C,\N
587,D,\N
588,E,\N
589,S,\N
590,A,\N
591,B,\N
592,C,\N
593,D,\N
594,E,\N
595,S,\N
596,A,\N
597,B,\N
598,C,\N
599,D,\N
600,E,\N
601,S,\N
602,A,\N
603,B,\N
604,C,\N
605,D,\N
606,E,\N
607,S,\N
608,A,\N
609,B,\N
610,C,\N
611,D,\N
612,E,\N
613,S,\N
614,A,\N
615,B,\N
616,C,\N
617,D,\N
618,E,\N
619,S,\N
620,A,\N
621,B,\N
622,C,\N
623,D,\N
624,E,\N
625,S,\N
626,A,\N
627,B,\N
628,C,\N
629,D,\N
630,E,\N
631,S,\N
632,A,\N
633,B,\N
634,C,\N
635,D,\N
636,E,\N
637,S,\N
638,A,\N
639,B,\N
640,C,\N
641,D,\N
642,E,\N
643,S,\N
644,A,\N
645,B,\N
646,C,\N
647,D,\N
648,E,\N
649,S,\N
650,A,\N
651,B,\N
652,C,\N
653,D,\N
654,E,\N
655,S,\N
656,A,\N
657,B,\N
658,C,\N
659,D,\N
660,E,\N
661,S,\N
662,A,\N
663,B,\N
664,C,\N
665,D,\N
666,E,\N
667,S,\N
668,A,\N
669,B,\N
670,C,\N
671,D,\N
672,E,\N
673,S,\N
674,A,\N
675,B,\N
676,C,\N
677,D,\N
678,E,\N
679,S,\N
680,A,\N
681,B,\N
682,C,\N
683,D,\N
684,E,\N
685,S,\N
686,A,\N
687,B,\N
688,C,\N
689,D,\N
690,E,\N
691,S,\N
692,A,\N
693,B,\N
694,C,\N
695,D,\N
696,E,\N
697,S,\N
698,A,\N
699,B,\N
700,C,\N
701,D,\N
702,E,\N
703,S,\N
704,A,\N
705,B,\N
706,C,\N
707,D,\N
708,E,\N
709,S,\N
710,A,\N
711,B,\N
712,C,\N
713,D,\N
714,E,\N
715,S,\N
716,A,\N
717,B,\N
718,C,\N
719,D,\N
720,E,\N
721,S,\N
722,A,\N
723,B,\N
724,C,\N
725,D,\N
726,E,\N
727,S,\N
728,A,\N
729,B,\N
730,C,\N
731,D,\N
732,E,\N
733,S,\N
734,A,\N
735,B,\N
736,C,\N
737,D,\N
738,E,\N
739,S,\N
740,A,\N
741,B,\N
742,C,\N
743,D,\N
744,E,\N
745,S,\N
746,A,\N
747,B,\N
748,C,\N
749,D,\N
750,E,\N
751,S,\N
752,A,\N
753,B,\N
754,C,\N
755,D,\N
756,E,\N
757,S,\N
758,A,\N
759,B,\N
760,C,\N
761,D,\N
762,E,\N
763,S,\N
764,A,\N
765,B,\N
766,C,\N
767,D,\N
768,E,\N
769,S,\N
770,A,\N
771,B,\N
772,C,\N
773,D,\N
774,E,\N
775,S,\N
776,A,\N
777,B,\N
778,C,\N
779,D,\N
780,E,\N
781,S,\N
782,A,\N
783,B,\N
784,C,\N
785,D,\N
786,E,\N
787,S,\N
788,A,\N
789,B,\N
790,C,\N
791,D,\N
792,E,\N
793,S,\N
794,A,\N
795,B,\N
796,C,\N
797,D,\N
798,E,\N
799,S,\N
800,A,\N
801,B,\N
802,C,\N
803,D,\N
804,E,\N
805,S,\N
806,A,\N
807,B,\N
808,C,\N
809,D,\N
810,E,\N
811,S,\N
812,A,\N
813,B,\N
814,C,\N
815,D,\N
816,E,\N
817,S,\N
818,A,\N
819,B,\N
820,C,\N
821,D,\N
822,E,\N
823,S,\N
824,A,\N
825,B,\N
826,C,\N
827,D,\N
828,E,\N
829,S,\N
830,A,\N
831,B,\N
832,C,\N
833,D,\N
834,E,\N
835,S,\N
836,A,\N
837,B,\N
838,C,\N
839,D,\N
840,E,\N
841,S,\N
842,A,\N
843,B,\N
844,C,\N
845,D,\N
846,E,\N
847,S,\N
848,A,\N
849,B,\N
850,C,\N
851,D,\N
852,E,\N
853,S,\N
854,A,\N
855,B,\N
856,C,\N
857,D,\N
858,E,\N
859,S,\N
860,A,\N
861,B,\N
862,C,\N
863,D,\N
864,E,\N
865,S,\N
866,A,\N
867,B,\N
868,C,\N
869,D,\N
870,E,\N
871,S,\N
872,A,\N
873,B,\N
874,C,\N
875,D,\N
876,E,\N
877,S,\N
878,A,\N
879,B,\N
880,C,\N
881,D,\N
882,E,\N
883,S,\N
884,A,\N
885,B,\N
886,C,\N
887,D,\N
888,E,\N
889,S,\N
890,A,\N
891,B,\N
892,C,\N
893,D,\N
894,E,\N
895,S,\N
896,A,\N
897,B,\N
898,C,\N
899,D,\N
900,E,\N
901,S,\N
902,A,\N
903,B,\N
904,C,\N
905,D,\N
906,E,\N
907,S,\N
908,A,\N
909,B,\N
910,C,\N
911,D,\N
912,E,\N
913,S,\N
914,A,\N
915,B,\N
916,C,\N
917,D,\N
918,E,\N
919,S,\N
920,A,\N
921,B,\N
922,C,\N
923,D,\N
924,E,\N
925,S,\N
926,A,\N
927,B,\N
928,C,\N
929,D,\N
930,E,\N
931,S,\N
932,A,\N
933,B,\N
934,C,\N
935,D,\N
936,E,\N
937,S,\N
938,A,\N
939,B,\N
940,C,\N
941,D,\N
942,E,\N
943,S,\N
944,A,\N
945,B,\N
946,C,\N
947,D,\N
948,E,\N
949,S,\N
950,A,\N
951,B,\N
952,C,\N
953,D,\N
954,E,\N
955,S,\N
956,A,\N
957,B,\N
958,C,\N
959,D,\N
960,E,\N
961,S,\N
962,A,\N
963,B,\N
964,C,\N
965,D,\N
966,E,\N
967,S,\N
968,A,\N
969,B,\N
970,C,\N
971,D,\N
972,E,\N
973,S,\N
974,A,\N
975,B,\N
976,C,\N
977,D,\N
978,E,\N
979,S,\N
980,A,\N
981,B,\N
982,C,\N
983,D,\N
984,E,\N
985,S,\N
986,A,\N
987,B,\N
988,C,\N
989,D,\N
990,E,\N
991,S,\N
992,A,\N
993,B,\N
994,C,\N
995,D,\N
996,E,\N
997,S,\N
998,A,\N
999,B,\N
1000,C,\N
1001,D,\N
1002,E,\N
1003,S,\N
1004,A,\N
1005,B,\N
1006,C,\N
1007,D,\N
1008,E,\N
1009,S,\N
1010,A,\N
1011,B,\N
1012,C,\N
1013,D,\N
1014,E,\N
1015,S,\N
1016,A,\N
1017,B,\N
1018,C,\N
1019,D,\N
1020,E,\N
1021,S,\N
1022,A,\N
1023,B,\N
1024,C,\N
1025,D,\N
1026,E,\N
1027,S,\N
1028,A,\N
1029,B,\N
1030,C,\N
1031,D,\N
1032,E,\N
1033,S,\N
1034,A,\N
1035,B,\N
1036,C,\N
1037,D,\N
1038,E,\N
1039,S,\N
1040,A,\N
1041,B,\N
1042,C,\N
1043,D,\N
1044,E,\N
1045,S,\N
1046,A,\N
1047,B,\N
1048,C,\N
1049,D,\N
1050,E,\N
1051,S,\N
1052,A,\N
1053,B,\N
1054,C,\N
1055,D,\N
1056,E,\N
1057,S,\N
1058,A,\N
1059,B,\N
1060,C,\N
1061,D,\N
1062,E,\N
1063,S,\N
1064,A,\N
1065,B,\N
1066,C,\N
1067,D,\N
1068,E,\N
1069,S,\N
1070,A,\N
1071,B,\N
1072,C,\N
1073,D,\N
1074,E,\N
1075,S,\N
1076,A,\N
1077,B,\N
1078,C,\N
1079,D,\N
1080,E,\N
1081,S,\N
1082,A,\N
1083,B,\N
1084,C,\N
1085,D,\N
1086,E,\N
1087,S,\N
1088,A,\N
1089,B,\N
1090,C,\N
1091,D,\N
1092,E,\N
1093,S,\N
1094,A,\N
1095,B,\N
1096,C,\N
1097,D,\N
1098,E,\N
1099,S,\N
1100,A,\N
1101,B,\N
1102,C,\N
1103,D,\N
1104,E,\N
1105,S,\N
1106,A,\N
1107,B,\N
1108,C,\N
1109,D,\N
1110,E,\N
1111,S,\N
1112,A,\N
1113,B,\N
1114,C,\N
1115,D,\N
1116,E,\N
1117,S,\N
1118,A,\N
1119,B,\N
1120,C,\N
1121,D,\N
1122,E,\N
1123,S,\N
1124,A,\N
1125,B,\N
1126,C,\N
1127,D,\N
1128,E,\N
1129,S,\N
1130,A,\N
1131,B,\N
1132,C,\N
1133,D,\N
1134,E,\N
1135,S,\N
1136,A,\N
1137,B,\N
1138,C,\N
1139,D,\N
1140,E,\N
1141,S,\N
1142,A,\N
1143,B,\N
1144,C,\N
1145,D,\N
1146,E,\N
1147,S,\N
1148,A,\N
1149,B,\N
1150,C,\N
1151,D,\N
1152,E,\N
1153,S,\N
1154,S,\N
